Date,Month,Store Visits,Marketing_Spend,Discount_Percentage,Competitor_Price_Index,Sales_Revenue
01-01-2023,2023-01,8796,131428,2.8,100.1,1000000
02-01-2023,2023-01,8928,280900,2.4,95.4,1647302
03-01-2023,2023-01,10511,104453,0.1,101.1,1190761
04-01-2023,2023-01,7986,104102,1.1,102.8,1559825
05-01-2023,2023-01,10752,174848,4,93.2,1470965
06-01-2023,2023-01,9913,260280,6.6,102.4,1900000
07-01-2023,2023-01,10465,121712,6.3,95.2,1181094
08-01-2023,2023-01,10607,192596,7.5,99.6,1613773
09-01-2023,2023-01,11119,228382,10,90.5,1281340
10-01-2023,2023-01,10832,259807,1,90.1,1900000
11-01-2023,2023-01,8043,295782,8,90.4,1900000
12-01-2023,2023-01,11285,183343,6.8,95.7,1260400
13-01-2023,2023-01,10333,87416,6.9,94.7,1536241
14-01-2023,2023-01,9626,260394,4.6,98,1894792
15-01-2023,2023-01,8234,117507,2.9,100.5,1234554
16-01-2023,2023-01,8294,159294,9.3,95.5,1212722
17-01-2023,2023-01,7915,226627,2.2,104.8,1648544
18-01-2023,2023-01,8285,274803,5,99.7,1836495
19-01-2023,2023-01,8201,136938,6.7,94.6,1000000
20-01-2023,2023-01,7335,163355,3.8,103.3,1522094
21-01-2023,2023-01,9312,104702,2.8,98.5,1654461
22-01-2023,2023-01,8291,284600,10,99.9,1548451
23-01-2023,2023-01,10259,247740,9.9,104.1,1900000
24-01-2023,2023-01,9096,94026,11.8,99.9,1473008
25-01-2023,2023-01,10493,185267,8.9,104.9,1192940
26-01-2023,2023-01,7773,82127,10.6,95.8,1054175
27-01-2023,2023-01,7790,128996,3.9,101,1000000
28-01-2023,2023-01,10368,271756,11.6,92.8,1460793
29-01-2023,2023-01,7484,259028,6.8,104.7,1900000
30-01-2023,2023-01,8804,228477,8.2,96.2,1819074
31-01-2023,2023-01,8824,112204,9.3,90.5,1496352
01-02-2023,2023-02,10185,250961,9.3,91.3,1497855
02-02-2023,2023-02,10719,273577,7.2,92.7,1475782
03-02-2023,2023-02,7881,186315,10,90.4,1388188
04-02-2023,2023-02,8993,108682,6.1,103.2,1646214
05-02-2023,2023-02,8071,256759,8.4,98,1619903
06-02-2023,2023-02,11397,122209,2.3,90.3,1279417
07-02-2023,2023-02,8336,187145,11.1,101.5,1608058
08-02-2023,2023-02,8437,237004,0.7,97.5,1599129
09-02-2023,2023-02,7674,196039,8,96,1612843
10-02-2023,2023-02,11012,104801,6.2,92.3,1602692
11-02-2023,2023-02,10534,124326,3.1,103,1000000
12-02-2023,2023-02,11402,150624,4.6,92.4,1436705
13-02-2023,2023-02,8032,205061,10.2,93.5,1250150
14-02-2023,2023-02,9507,204306,7.7,104.4,1829049
15-02-2023,2023-02,9437,229303,7.8,90.3,1900000
16-02-2023,2023-02,10574,100450,6.9,91.1,1655913
17-02-2023,2023-02,7804,160395,5.9,92.4,1709014
18-02-2023,2023-02,7407,254584,8.8,98.4,1900000
19-02-2023,2023-02,10739,293660,3.4,94.9,1900000
20-02-2023,2023-02,9406,96928,4.8,94.4,1000000
21-02-2023,2023-02,10406,199355,11.6,92.1,1474883
22-02-2023,2023-02,7464,124810,11.5,95.8,1147670
23-02-2023,2023-02,10338,183718,11.1,100.3,1237927
24-02-2023,2023-02,10506,242061,8.9,95.6,1845129
25-02-2023,2023-02,9404,89569,4.7,96.7,1243832
26-02-2023,2023-02,9105,223320,0.3,100,1360435
27-02-2023,2023-02,7228,129173,1.7,100.1,1006784
28-02-2023,2023-02,8162,190416,2.7,91,1109450
01-03-2023,2023-03,9122,81646,8.3,92.9,1039121
02-03-2023,2023-03,10845,112691,9.7,93.6,1175553
03-03-2023,2023-03,8921,189646,11.1,92.3,1422702
04-03-2023,2023-03,11416,151695,11,94,1081029
05-03-2023,2023-03,8355,101936,11.8,104.6,1000000
06-03-2023,2023-03,8500,87774,3,96.7,1279780
07-03-2023,2023-03,8701,299849,5.6,103.5,1522880
08-03-2023,2023-03,8035,136205,7.8,91.3,1000000
09-03-2023,2023-03,9144,268293,4.3,92.1,1900000
10-03-2023,2023-03,11177,265422,10.7,102,1900000
11-03-2023,2023-03,8672,289948,6.9,91,1773932
12-03-2023,2023-03,7945,177553,2.6,102.4,1520158
13-03-2023,2023-03,9381,121919,8.8,102.2,1000000
14-03-2023,2023-03,10512,231035,7.2,96.9,1618937
15-03-2023,2023-03,11386,171619,2.6,90.6,1900000
16-03-2023,2023-03,11221,142853,0.6,102.3,1016045
17-03-2023,2023-03,10274,247162,9.3,103.8,1900000
18-03-2023,2023-03,9125,143432,3,103.2,1622670
