Breakdown,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Operating Cash Flow,130691000,115877000,84946000,46752000,46327000
Cash Flow from Continuing Operating Activities,130691000,115877000,84946000,46752000,46327000
Net Income from Continuing Operations,76482000,59248000,30425000,-2722000,33364000
Depreciation Amortization Depletion,61916000,52795000,48663000,41921000,34433000
Depreciation & amortization,61916000,52795000,48663000,41921000,34433000
Deferred Tax,9040000,-4648000,-5876000,-8148000,-310000
Deferred Income Tax,9040000,-4648000,-5876000,-8148000,-310000
Stock based compensation,20065000,22011000,24023000,19621000,12757000
Other non-cash items,-14673000,2012000,-748000,16966000,-14306000
Change in working capital,-22139000,-15541000,-11541000,-20886000,-19611000
Change in Receivables,-5878000,-3249000,-8348000,-8622000,-9145000
Changes in Account Receivables,-5878000,-3249000,-8348000,-8622000,-9145000
Change in Inventory,-5169000,-1884000,1449000,-2592000,-9487000
Change in Payables And Accrued Expense,1922000,68000,3045000,1387000,5725000
Change in Payable,8892000,2972000,5473000,2945000,3602000
Change in Account Payable,8892000,2972000,5473000,2945000,3602000
Change in Accrued Expense,-6970000,-2904000,-2428000,-1558000,2123000
Change in Other Current Assets,-14602000,-14483000,-12265000,-13275000,-9018000
Change in Other Working Capital,1588000,4007000,4578000,2216000,2314000
Investing Cash Flow,-132743000,-94342000,-49833000,-37601000,-58154000
Cash Flow from Continuing Investing Activities,-132743000,-94342000,-49833000,-37601000,-58154000
Net PPE Purchase And Sale,-115903000,-77658000,-48133000,-58321000,-55396000
Purchase of PPE,-120131000,-82999000,-52729000,-63645000,-61053000
Sale of PPE,4228000,5341000,4596000,5324000,5657000
Net Business Purchase And Sale,-4973000,-7082000,-5839000,-8316000,-1985000
Purchase of Business,-4973000,-7082000,-5839000,-8316000,-1985000
Net Investment Purchase And Sale,-11867000,-9602000,4139000,29036000,-773000
Purchase of Investment,-51089000,-26005000,-1488000,-2565000,-60157000
Sale of Investment,39222000,16403000,5627000,31601000,59384000
Financing Cash Flow,-5938000,-11812000,-15879000,9718000,6291000
Cash Flow from Continuing Financing Activities,-5938000,-11812000,-15879000,9718000,6291000
Net Issuance Payments of Debt,-5909000,-11812000,-15879000,15718000,6291000
Net Long Term Debt Issuance,-7687000,-11894000,-8331000,11719000,6088000
Long Term Debt Issuance,746000,0,0,21166000,19003000
Long Term Debt Payments,-8433000,-11894000,-8331000,-9447000,-12915000
Net Short Term Debt Issuance,1778000,82000,-7548000,-7548000,203000
Short Term Debt Issuance,9685000,5142000,18129000,41553000,7956000
Short Term Debt Payments,-7907000,-5060000,-25677000,-37554000,-7753000
Net Common Stock Issuance,,0,0,-6000000,0
Common Stock Payments,,0,0,-6000000,0
Net Other Financing Charges,,,-271000,-248000,-162000
End Cash Position,70687000,82312000,73890000,54253000,36477000
Changes in Cash,-7990000,9723000,19234000,18869000,-5536000
Effect of Exchange Rate Changes,-223000,-1301000,403000,-1093000,-364000
Beginning Cash Position,78677000,73890000,54253000,36477000,42377000
Income Tax Paid Supplemental Data,10920000,12308000,11179000,6035000,3688000
Interest Paid Supplemental Data,2157000,2364000,3112000,2142000,1772000
Capital Expenditure,-120131000,-82999000,-52729000,-63645000,-61053000
Issuance of Debt,10431000,5142000,18129000,62719000,26959000
Repayment of Debt,-16340000,-16954000,-34008000,-47001000,-20668000
Repurchase of Capital Stock,,0,0,-6000000,0
Free Cash Flow,10560000,32878000,32217000,-16893000,-14726000
